Actual Profit ($),Actual Sales (Qty),Actual Cost of Goods Sold  (COGS) ($),Actual Total Expenses ($),Inventory (Qty),Budget Profit ($),Budget Sales (Qty),Budget COGS ($),Date,Market,Province,City,Store#,Market Size,Product Type,Product,Type
-354,17,245,126,1419,-240,0,160,31/1/2019,Central,Ontario,Toronto ,702,Small Market,Tea,Green Tea,Regular
-172,61,105,128,725,-170,50,100,31/1/2019,Atlantic,PEI,Charlottetown,315,Major Market,Espresso,Caffe Mocha,Regular
-117,118,144,91,862,-120,140,180,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Coffee,Decaf Irish Cream,Decaf
-113,180,207,86,965,-70,140,150,31/1/2019,Atlantic,PEI,Charlottetown,845,Major Market,Herbal Tea,Mint,Decaf
-40,99,88,51,525,-30,80,70,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Mint,Decaf
-39,99,88,50,525,-30,120,110,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Coffee,Decaf Irish Cream,Decaf
-39,99,88,50,525,-20,80,70,31/1/2019,North,Nunavut,Iqaluit,314,Small Market,Herbal Tea,Lemon,Decaf
-23,126,63,86,435,-10,120,60,31/1/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Espresso,Caffe Mocha,Regular
-11,90,37,64,261,0,70,30,31/1/2019,North,Nunavut,Pangnirtung,573,Small Market,Herbal Tea,Chamomile,Decaf
-10,90,37,63,261,-10,70,30,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Mocha,Regular
-10,90,37,63,261,0,60,20,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Darjeeling,Regular
-10,90,37,63,261,0,80,30,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Caffe Mocha,Regular
-9,65,29,45,169,10,40,10,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Green Tea,Regular
-9,65,29,45,169,-10,50,20,31/1/2019,North,Nunavut,Pangnirtung,573,Small Market,Tea,Earl Grey,Regular
-8,65,29,44,169,0,50,20,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Latte,Regular
-8,65,29,44,169,0,60,20,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Regular Espresso,Regular
-4,76,34,46,197,0,50,20,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Herbal Tea,Lemon,Decaf
-4,76,34,46,197,0,60,20,31/1/2019,North,Nunavut,Kugluktuk,417,Small Market,Tea,Green Tea,Regular
-3,76,34,45,197,10,90,40,31/1/2019,Central,Ontario,Toronto ,702,Small Market,Coffee,Colombian,Regular
-2,145,95,52,608,30,180,110,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Coffee,Amaretto,Regular
0,150,63,87,435,20,130,50,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Lemon,Decaf
0,150,63,87,435,20,150,60,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Decaf Irish Cream,Decaf
1,150,63,86,435,40,180,70,31/1/2019,Central,Ontario,Ottawa,541,Small Market,Coffee,Amaretto,Regular
4,62,28,30,965,20,60,20,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Herbal Tea,Lemon,Decaf
4,62,28,30,965,20,70,30,31/1/2019,Central,Ontario,Toronto ,775,Small Market,Coffee,Decaf Irish Cream,Decaf
5,62,28,29,965,20,60,20,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Colombian,Regular
7,180,75,98,522,20,170,70,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Caffe Mocha,Regular
7,180,75,98,522,10,150,60,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Tea,Earl Grey,Regular
8,180,75,97,522,20,120,40,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Green Tea,Regular
8,180,75,97,522,10,150,60,31/1/2019,North,Yukon,Whitehorse,504,Small Market,Espresso,Caffe Latte,Regular
9,82,35,38,196,10,70,30,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Decaf Espresso,Decaf
9,82,35,38,196,10,50,20,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Earl Grey,Regular
9,190,79,102,551,20,190,80,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Coffee,Colombian,Regular
